NAME,SIZE
New York Times,340
United States,313
New York,308
Ford,180
Obama,159
China,149
America,148
Russia,144
Ukraine,138
Honda,134
Nissan,130
Toyota,127
Washington,127
Microsoft,123
Facebook,119
General Motors,119
Los Angeles,113
Audi,111
California,111
Manhattan,111
Mazda,109
Europe,94
Hyundai,92
BMW,88
Libya,86
Chrysler,84
San Francisco,80
Brooklyn,78
London,77
Israel,76
