NAME,SIZE
united states,222
washington,172
microsoft,97
firefox,96
obama,93
washington post,70
republican,61
russia,54
facebook,44
senate,42
virginia,40
congress,38
new york,36
ukraine,32
associated press,30
europe,30
maryland,26
malaysia,24
nba,22
california,21
