SOURCE,TARGET,VALUE
2,3,95
0,4,54
0,1,51
1,4,34
0,13,27
0,7,26
7,13,26
1,5,24
6,9,20
1,12,19
0,9,19
4,11,19
0,15,19
0,12,18
9,11,18
1,11,17
0,11,17
4,9,17
4,17,16
1,9,16
1,10,15
0,14,15
0,8,15
6,11,15
0,6,14
4,13,14
0,17,14
4,6,14
13,15,13
7,15,13
1,8,13
0,19,12
1,6,12
4,7,11
0,5,10
4,15,10
1,19,9
10,16,9
4,12,9
1,16,8
1,13,7
4,14,7
4,5,7
4,8,7
1,18,6
10,11,6
1,15,6
0,10,6
4,19,6
0,16,6
9,13,6
1,7,6
5,8,6
8,15,6
8,19,6
